Accessions,Mother,Location,Date,Height,rockdust,section
S294,Sid_ABG,T15C4,20/09/18,3,n,Adnataria
S295,Sid_ABG,T15C5,20/09/18,2.1,y,Adnataria
S296,Sid_ABG,T15D1,20/09/18,8.3,n,Adnataria
S297,Sid_ABG,T15D2,20/09/18,5.1,y,Adnataria
S298,Sid_ABG,T15D3,20/09/18,6.8,n,Adnataria
S299,Sid_ABG,T15D4,20/09/18,6.8,y,Adnataria
S300,Sid_ABG,T15D5,20/09/18,3.2,n,Adnataria
S301,Mel_706,T16A1,20/09/18,2.4,n,Adnataria
S302,Mel_706,T16A2,20/09/18,3,y,Adnataria
S303,Mel_706,T16A3,20/09/18,3,n,Adnataria
S304,Mel_706,T16A4,20/09/18,5.5,y,Adnataria
S305,Mel_706,T16A5,20/09/18,5.3,n,Adnataria
S306,Mel_706,T16B1,20/09/18,3.9,y,Adnataria
S307,Mel_706,T16B2,20/09/18,3.8,n,Adnataria
S308,Mel_706,T16B3,20/09/18,3.5,y,Adnataria
S309,Mel_706,T16B4,20/09/18,4.6,n,Adnataria
S310,Mel_706,T16B5,20/09/18,1.5,y,Adnataria
S311,Mel_706,T16C1,20/09/18,1.1,n,Adnataria
S312,Mel_706,T16C2,20/09/18,0,y,Adnataria
S313,Mel_706,T16C3,20/09/18,2.3,n,Adnataria
S314,Mel_706,T16C4,20/09/18,5,y,Adnataria
S315,Mel_706,T16C5,20/09/18,3.4,n,Adnataria
S316,Mel_706,T16D1,20/09/18,4.5,y,Adnataria
S317,Mel_706,T16D2,20/09/18,2.4,n,Adnataria
S318,Mel_706,T16D3,20/09/18,2.7,y,Adnataria
S319,Mel_706,T16D4,20/09/18,0,n,Adnataria
S320,Mel_706,T16D5,20/09/18,9.6,y,Adnataria
